"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英語","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","設置位置","緯度","経度","高度の種別","高度の値","男性トイレ総数","男性トイレ数（小便器）","男性トイレ数（和式）","男性トイレ数（洋式）","女性トイレ総数","女性トイレ数（和式）","女性トイレ数（洋式）","男女共用トイレ総数","男女共用トイレ数（和式）","男女共用トイレ数（洋式）","バリアフリートイレ数","車椅子使用者用トイレ有無","乳幼児用設備設置トイレ有無","オストメイト設置トイレ有無","利用開始時間","利用終了時間","利用可能時間特記事項","画像","画像_ライセンス","備考"
"131067","131067C00053","台東区","橋場","ハシバ","","131067","","東京都台東区橋場2-19-7","東京都","台東区","橋場2丁目","19-7","","","35.72785755","139.8072971","","","","1","","1","","","1","","","","","","","","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00054","台東区","吉原","ヨシワラ","","131067","","東京都台東区千束4-40-6","東京都","台東区","千束4丁目","40-6","","","35.72500941","139.7952945","","","","","","","","","","","","1","","","","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00056","台東区","花園","ハナゾノ","","131067","","東京都台東区千束3-20-7","東京都","台東区","千束3丁目","20-7","","","35.72219562","139.7927631","","","","","","","","","","","","1","","","","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00057","台東区","根岸","ネギシ","","131067","","東京都台東区根岸4-16-23","東京都","台東区","根岸4丁目","16-23","","","35.72566009","139.7855527","","","","","","","","","","","","","1","有","有","有","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00058","台東区","谷中清水町","ヤナカシミズチョウ","","131067","","東京都台東区谷中1-1-32","東京都","台東区","谷中1丁目","1-32","","","35.72039134","139.7692687","","","","","","","","","","","","1","","有","","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00059","台東区","岡倉天心記念","オカクラテンシンキネン","","131067","","東京都台東区谷中5-7-10","東京都","台東区","谷中5丁目","7-10","","","35.72631593","139.7663588","","","","1","","1","","","1","","","","","","","","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00062","台東区","隅田１号","スミダイチゴウ","","131067","","東京都台東区花川戸1-1 吾妻橋付近","東京都","台東区","花川戸1丁目","1","吾妻橋付近","","35.71078918","139.7983456","","","","3","","2","","","3","","","","1","有","有","有","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00063","台東区","隅田２号","スミダニゴウ","","131067","","東京都台東区花川戸2-1 言問橋付近","東京都","台東区","花川戸2丁目","1","言問橋付近","","35.71457058","139.8023503","","","","3","","2","","","3","","","","1","有","有","有","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00064","台東区","隅田３号","スミダサンゴウ","","131067","","東京都台東区今戸1-1 野球場前","東京都","台東区","今戸1丁目","1","野球場前","","35.7194338","139.8055475","","","","3","","1","","","2","","","","","","","","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00065","台東区","隅田４号","スミダヨンゴウ","","131067","","東京都台東区浅草7-1 山谷堀広場脇","東京都","台東区","浅草7丁目","1","山谷堀広場脇","","35.71671192","139.8037174","","","","4","","1","","","4","","","","1","有","有","有","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00066","台東区","隅田公園案内所","スミダコウエンアンナイジョ","","131067","","東京都台東区花川戸1-1-22","東京都","台東区","花川戸1丁目","1-22","","","35.7129136","139.8001751","","","","2","","1","","","2","","","","1","有","有","有","09:30","18:00","案内所の営業時間に準ずる（花見時期は09:00～21：00）","","",""
"131067","131067C00067","台東区","天王寺","テンノウジ","","131067","","東京都台東区谷中7-15-5","東京都","台東区","谷中7丁目","15-5","","","35.72736048","139.770551","","","","","","","","","","","","1","","","有","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00070","台東区","山谷堀","サンヤボリ","","131067","","東京都台東区浅草6-45-12 吉野橋際","東京都","台東区","浅草6丁目","45-12","吉野橋際","","35.71914076","139.8016739","","","","2","","1","","","2","","","","1","有","有","有","00:00","00:00","２４時間利用可能","","",""
"131067","131067C00074","台東区","金曽木","カナソギ","","131067","","東京都台東区根岸4-16-14","東京都","台東区","根岸4丁目","16-14","","","35.7258412","139.784463","","","","","","","","","","","","1","","有","有","","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00075","台東区","浅草橋","アサクサバシ","","131067","","東京都台東区浅草橋1-1-15","東京都","台東区","浅草橋1丁目","1-15","","","35.69621973","139.7851789","","","","2","","1","","","","","","","1","有","有","有","00:00","00:00","２４時間利用可能","","","男女共用"
"131067","131067C00076","台東区","御蔵前","ミクラマエ","","131067","","東京都台東区蔵前1-4-8","東京都","台東区","蔵前1丁目","4-8","","","35.70033443","139.7895121","","","","1","","1","","","1","","","","1","有","有","有","00:00","00:00","２４時間利用可能 ただしバリアフリートイレのみ09:00～16:00が利用可","","",""
"131067","131067C00081","台東区","黒門","クロモン","","131067","","東京都台東区上野1-19-3","東京都","台東区","上野1丁目","19-3","","","35.70664824","139.7722664","","","","1","","","","","","","","","1","有","有","有","00:00","00:00","２４時間利用可能","","","男女共用"
