全国地方公共団体コード,ID,地方公共団体名,名称,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,面積(㎡),備考
131130,131130_103,東京都渋谷区,笹塚東公園,渋谷区笹塚2-46-4,東京都,渋谷区,笹塚二丁目,46-4,,35.6766135,139.6693692,,
131130,131130_104,東京都渋谷区,九号通り公園,渋谷区笹塚2-49-3,東京都,渋谷区,笹塚二丁目,49-3,,35.6772052,139.6697339,,
131130,131130_105,東京都渋谷区,笹塚児童遊園地,渋谷区笹塚3-2-9,東京都,渋谷区,笹塚三丁目,2-9,,35.6784454,139.6696104,,
131130,131130_106,東京都渋谷区,笹塚公園,渋谷区笹塚3-36-6,東京都,渋谷区,笹塚三丁目,36-6,,35.6772172,139.6662949,,キャッチボールコーナーのみ時間制7月～9月　9時～18時10月～6月　9時～17時
131130,131130_107,東京都渋谷区,笹塚北児童遊園地,渋谷区笹塚3-46-13,東京都,渋谷区,笹塚三丁目,46-13,,35.6802891,139.6683981,,
131130,131130_108,東京都渋谷区,鳩森児童遊園地,渋谷区千駄ヶ谷1-1-14,東京都,渋谷区,千駄ケ谷一丁目,1-14,,35.6780245,139.7090502,,
131130,131130_109,東京都渋谷区,千駄ヶ谷児童遊園地,渋谷区千駄ヶ谷3-40-3,東京都,渋谷区,千駄ケ谷三丁目,40-3,,35.6781509,139.7063949,,
131130,131130_110,東京都渋谷区,北参道ふれあい公園,渋谷区千駄ヶ谷4-7-14,東京都,渋谷区,千駄ケ谷四丁目,7-14,,35.679526,139.7049987,,
131130,131130_111,東京都渋谷区,千駄ヶ谷四丁目児童遊園地,渋谷区千駄ヶ谷4-18-18,東京都,渋谷区,千駄ケ谷四丁目,18-18,,35.6798993,139.7081731,,
131130,131130_112,東京都渋谷区,裏参道児童遊園地,渋谷区千駄ヶ谷4-28-1,東京都,渋谷区,千駄ケ谷四丁目,28-1,,35.6804414,139.703965,,
131130,131130_113,東京都渋谷区,千鳩児童遊園地,渋谷区千駄ヶ谷5-17-4,東京都,渋谷区,千駄ケ谷五丁目,17-4,,35.682551,139.7054696,,
131130,131130_114,東京都渋谷区,うまや道公園,渋谷区千駄ヶ谷5-24-11,東京都,渋谷区,千駄ケ谷五丁目,24-11,,35.6839451,139.7029034,,
131130,131130_115,東京都渋谷区,代々木みどり公園,渋谷区代々木1-37-10,東京都,渋谷区,代々木一丁目,37-10,,35.6831305,139.7007071,,
131130,131130_116,東京都渋谷区,代々木二丁目あおい公園,渋谷区代々木2-13-3,東京都,渋谷区,代々木二丁目,13-3,,35.6869828,139.6960867,,
131130,131130_117,東京都渋谷区,神宮前公園,渋谷区神宮前2-2-30,東京都,渋谷区,神宮前二丁目,2-30,,35.6734622,139.7138249,,
131130,131130_118,東京都渋谷区,千原児童遊園地,渋谷区神宮前2-31-5,東京都,渋谷区,神宮前二丁目,31-5,,35.6733624,139.7096398,,
131130,131130_119,東京都渋谷区,神宮前三丁目児童遊園地,渋谷区神宮前3-2-11,東京都,渋谷区,神宮前三丁目,2-11,,35.6683919,139.712872,,
131130,131130_120,東京都渋谷区,原宿一丁目公園,渋谷区神宮前3-37-17,東京都,渋谷区,神宮前三丁目,37-17,,35.6716378,139.7125834,,
131130,131130_121,東京都渋谷区,神宮前五丁目児童遊園地,渋谷区神宮前5-38-7,東京都,渋谷区,神宮前五丁目,38-7,,35.6634127,139.7059767,,
131130,131130_122,東京都渋谷区,神宮通公園,渋谷区神宮前6-22-8,東京都,渋谷区,神宮前六丁目,22-8,,35.6650529,139.7019995,,7時～23時
131130,131130_123,東京都渋谷区,渋谷区立宮下公園,渋谷区渋谷1-26-5,東京都,渋谷区,渋谷一丁目,26-5,,35.6617182,139.7016472,,
